User 5%, System 6%, IOW 0%, IRQ 0%
User 6 + Nice 0 + Sys 8 + Idle 103 + IOW 0 + IRQ 0 + SIRQ 0 = 117

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
  131 root      0 -20   0% S     1      0K      0K  fg ext4-rsv-conver
  135 root     20   0   0% S     1      0K      0K  fg jbd2/mmcblk0p11
  136 root      0 -20   0% S     1      0K      0K  fg ext4-rsv-conver
  140 root     20   0   0% S     1      0K      0K  fg jbd2/mmcblk0p14
  141 root      0 -20   0% S     1      0K      0K  fg ext4-rsv-conver
  142 root     20   0   0% S     1   6416K    520K  fg /sbin/healthd
  143 root     20   0   0% S     5  13516K   1940K  fg /system/bin/displayd
  144 root     20   0   0% S     5 2122604K  74224K  fg zygote64
  145 root     20   0   0% S     5 1561788K  64096K  fg zygote
  146 root     -2   0   0% S     1   8920K   1880K unk /system/bin/lmkd
  147 system   20   0   0% S     1   9420K   2024K unk /system/bin/servicemanager
  149 root     20   0   0% S     4  16216K   3400K  fg /system/bin/vold
  154 root     20   0   0% S     1   5080K   1372K unk /system/bin/debuggerd
  155 root     20   0   0% S     1   9888K   1924K unk /system/bin/debuggerd64
  163 root     20   0   0% S     1   9888K    548K unk debuggerd64:signaller
  177 root     20   0   0% S     1   5080K    432K unk debuggerd:signaller
  179 logd     30  10   0% S     7  16976K   3292K unk /system/bin/logd
  181 shell    20   0   0% S     1   7704K   1564K  fg /system/bin/sh
  186 root     20   0   0% S     1   3556K   1020K  fg /system/bin/sambad
  187 audioser 20   0   0% S    11  46736K   6460K  fg /system/bin/audioserver
  188 camerase 20   0   0% S     2  54728K  13556K  fg /system/bin/cameraserver
  189 drm      20   0   0% S     2  12988K   4008K  fg /system/bin/drmserver
  190 root     20   0   0% S     1   9708K   2360K  fg /system/bin/installd
  191 keystore 20   0   0% S     1  12620K   3144K  fg /system/bin/keystore
  192 mediacod 20   0   0% S     6  22804K   4792K  fg media.codec
  193 media    20   0   0% S     2  37292K   8156K  fg /system/bin/mediadrmserver
  195 mediaex  20   0   0% S     4  40828K   5932K  fg media.extractor
  199 system   20   0   0% S     1  12308K   2812K unk /system/bin/gatekeeperd
  203 root     20   0   0% S     1      0K      0K  fg kauditd
  604 system   20   0   0% S    28 1572764K  60180K  fg com.togic.settingservice
  616 u0_a14   20   0   0% S    21 1580596K  65996K  fg com.android.systemui
  632 system   20   0   0% S    18 1570304K  70076K  bg com.android.tv.settings
  645 media_rw 20   0   0% S     4  11936K   3016K  fg /system/bin/sdcard
  663 root      0 -20   0% S     1      0K      0K  fg cfg80211
  773 root     20   0   0% S     1      0K      0K  fg AR6K Async
  777 root     17  -3   0% S     1      0K      0K  fg VosWDThread
  778 root     18  -2   0% S     1      0K      0K  fg VosMCThread
  780 root     19  -1   0% S     1      0K      0K  fg VosTXThread
  781 root     19  -1   0% S     1      0K      0K  fg VosRXThread
  782 root     19  -1   0% S     1      0K      0K  fg VosTlshimRxThre
  807 u0_a6    20   0   0% S     9 1538160K  39916K  fg android.ext.services
  847 system   20   0   0% S    10 1539456K  40040K  bg com.rockchip.devicetest
  868 system   20   0   0% S    39 1574020K  49864K  fg com.doule.timeservice
  874 u0_a36   20   0   0% S    41 1130368K  98044K  fg com.togic.weboxlauncher
  882 u0_a34   20   0   0% S    27 1566600K  62600K  fg tv.doule.upgrade
  925 system   20   0   0% S    13 982984K  37112K  fg com.togic.samba
  936 system   20   0   0% S    10 1539648K  43108K  fg com.togic.middlelayer
  958 u0_a28   20   0   0% S    16 1553800K  52560K  fg com.android.inputmethod.latin
  984 system   20   0   0% S    10 1539236K  41844K  bg com.android.keychain
 1026 u0_a5    20   0   0% S    14 1553620K  55732K  bg android.process.media
 1044 root     -2   0   0% S     1      0K      0K  fg ksdioirqd/mmc1
 1047 system   20   0   0% S    22 1554088K  48184K  fg com.togic.taskclean.service
 1054 root     18  -2   0% S     1      0K      0K  fg wlan_logging_th
 1069 wifi     20   0   0% S     1  14296K   4048K  fg /system/bin/wpa_supplicant
 1121 system   20   0   0% S    17 1558624K  64236K  bg com.togic.settings
 1171 u0_a2    20   0   0% S    13 1547948K  49864K  bg android.process.acore
 1189 u0_a1    20   0   0% S    11 1541292K  43204K  bg com.android.providers.calendar
 3117 root      0 -20   0% S     1      0K      0K  fg kworker/1:1H
 3795 u0_a4    20   0   0% S     9 1538020K  40200K  bg com.android.defcontainer
 3897 system   20   0   0% S    24 1560572K  52960K  fg com.togic.datausagestats
15489 root     20   0   0% S     1      0K      0K  fg kworker/0:1
20733 shell    20   0   0% S     1   8120K   1548K  fg logcat
20967 root     20   0   0% S     1      0K      0K  fg kworker/3:2
22280 u0_a16   20   0   0% S    27 1013168K  51512K  fg com.togic.livevideo:backend
22294 u0_a16   20   0   0% S    24 1009316K  46472K  fg com.togic.livevideo:plugin
22434 u0_a16   20   0   0% S    22 1010872K  52540K  bg com.togic.livevideo:pushservice
26414 root     20   0   0% S     1      0K      0K  fg kworker/1:2
29382 root     20   0   0% S     1      0K      0K  fg kworker/u8:2
29819 u0_a56   20   0   0% S    11 1539952K  43020K  bg com.togic.mboxsettingforwe30s
29839 root     20   0   0% S     1      0K      0K  fg kworker/u8:1
29841 root     20   0   0% S     1      0K      0K  fg kworker/3:0
29876 root     20   0   0% S     1      0K      0K  fg kworker/1:1
30361 root     20   0   0% S     1      0K      0K  fg kworker/2:2
30718 root     20   0   0% S     1      0K      0K  fg kworker/0:0
31586 root      0 -20   0% S     1      0K      0K  fg kworker/u9:2
32286 root      0 -20   0% S     1      0K      0K  fg kworker/u9:0
32461 root     20   0   0% S     1      0K      0K  fg kworker/u8:0
32513 root     20   0   0% S     1      0K      0K  fg kworker/u8:3
32514 root     20   0   0% S     1      0K      0K  fg kworker/u8:4
32619 root      0 -20   0% S     1      0K      0K  fg kworker/u9:1
   98 root     RT   0   0% S     1      0K      0K  fg irq/63-ff3a0000
    2 root     20   0   0% S     1      0K      0K  fg kthreadd
    3 root     20   0   0% S     1      0K      0K  fg ksoftirqd/0
    5 root      0 -20   0% S     1      0K      0K  fg kworker/0:0H
    7 root     RT   0   0% S     1      0K      0K  fg migration/0
    8 root     20   0   0% S     1      0K      0K  fg rcu_preempt
    9 root     20   0   0% S     1      0K      0K  fg rcu_bh
   10 root     20   0   0% S     1      0K      0K  fg rcu_sched
   11 root     RT   0   0% S     1      0K      0K  fg watchdog/0
   12 root     RT   0   0% S     1      0K      0K  fg watchdog/1
   13 root     RT   0   0% S     1      0K      0K  fg migration/1



User 9%, System 4%, IOW 0%, IRQ 0%
User 40 + Nice 0 + Sys 17 + Idle 349 + IOW 0 + IRQ 0 + SIRQ 1 = 407

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
  894 system   20   0   5% S    33 1031988K  44880K  fg com.togic.upnp
  196 media    20   0   3% S    15 246316K  89220K  fg /system/bin/mediaserver
30389 u0_a16   16  -4   2% S   116 1453588K 277268K  ta com.togic.livevideo
 1330 shell    20   0   1% R     1   9100K   1980K  fg top
  148 system   -2  -8   0% S    18 168996K   5972K unk /system/bin/surfaceflinger
  187 audioser 20   0   0% S    11  46736K   6460K  fg /system/bin/audioserver
20733 shell    20   0   0% S     1   8120K   1548K  fg logcat
    1 root     20   0   0% S     1  10612K   1620K  fg /init
  182 shell    20   0   0% S     9  18444K    856K  fg /sbin/adbd
  389 system   18  -2   0% S    83 2262232K 223160K  fg system_server
   13 root     RT   0   0% S     1      0K      0K  fg migration/1
   14 root     20   0   0% S     1      0K      0K  fg ksoftirqd/1
   16 root      0 -20   0% S     1      0K      0K  fg kworker/1:0H
   17 root     RT   0   0% S     1      0K      0K  fg watchdog/2
   18 root     RT   0   0% S     1      0K      0K  fg migration/2
   19 root     20   0   0% S     1      0K      0K  fg ksoftirqd/2
   21 root      0 -20   0% S     1      0K      0K  fg kworker/2:0H
   22 root     RT   0   0% S     1      0K      0K  fg watchdog/3
   23 root     RT   0   0% S     1      0K      0K  fg migration/3
   24 root     20   0   0% S     1      0K      0K  fg ksoftirqd/3
   26 root      0 -20   0% S     1      0K      0K  fg kworker/3:0H
   27 root      0 -20   0% S     1      0K      0K  fg khelper
   28 root     20   0   0% S     1      0K      0K  fg kdevtmpfs
   29 root      0 -20   0% S     1      0K      0K  fg netns
   32 root     20   0   0% S     1      0K      0K  fg kworker/2:1
   34 root     20   0   0% S     1      0K      0K  fg kconsole
   35 root      0 -20   0% S     1      0K      0K  fg writeback
   36 root      0 -20   0% S     1      0K      0K  fg bioset
   37 root      0 -20   0% S     1      0K      0K  fg crypto
   39 root      0 -20   0% S     1      0K      0K  fg kblockd
   40 root     20   0   0% S     1      0K      0K  fg khubd
   44 root     20   0   0% S     1      0K      0K  fg vmalloc
   45 root      0 -20   0% S     1      0K      0K  fg devfreq_wq
   46 root     RT   0   0% S     1      0K      0K  fg irq/6-rk805
   47 root     RT   0   0% S     1      0K      0K  fg irq/65-rga
   48 root     20   0   0% S     1      0K      0K  fg fb-vsync
   49 root     20   0   0% S     1      0K      0K  fg rk-fb
   50 root     RT   0   0% S     1      0K      0K  fg cfinteractive
   51 root      0 -20   0% S     1      0K      0K  fg rpciod
   52 root     RT   0   0% S     1      0K      0K  fg irq/41-ff350000
   53 root     RT   0   0% S     1      0K      0K  fg irq/41-ff351000
   54 root     RT   0   0% S     1      0K      0K  fg irq/39-ff360000
   69 root     20   0   0% S     1      0K      0K  fg khungtaskd
   70 root     20   0   0% S     1      0K      0K  fg kswapd0
   71 root     20   0   0% S     1      0K      0K  fg fsnotify_mark
   72 root      0 -20   0% S     1      0K      0K  fg nfsiod
   73 root      0 -20   0% S     1      0K      0K  fg cifsiod
   95 root     RT   0   0% S     1      0K      0K  fg irq/109-rockchi
   96 root      0 -20   0% S     1      0K      0K  fg hdmi-ff3c0000.h
   97 root     RT   0   0% S     1      0K      0K  fg irq/115-ff3c000
   99 root     RT   0   0% S     1      0K      0K  fg irq/127-ff33000
  100 root     RT   0   0% S     1      0K      0K  fg irq/129-ff34000
  101 root      0 -20   0% S     1      0K      0K  fg dwc_otg
  102 root      0 -20   0% S     1      0K      0K  fg uether
  103 root      0 -20   0% S     1      0K      0K  fg goodix_wq
  104 root      0 -20   0% S     1      0K      0K  fg rk816_pwrkey
  105 root     RT   0   0% S     1      0K      0K  fg irq/90-rockchip
  106 root      0 -20   0% S     1      0K      0K  fg dm_bufio_cache
  107 root      0 -20   0% S     1      0K      0K  fg dw-mci-card
  108 root      0 -20   0% S     1      0K      0K  fg dw-mci-card
  110 root      0 -20   0% S     1      0K      0K  fg dw-mci-card
  111 root      0 -20   0% S     1      0K      0K  fg binder
  112 root     10 -10   0% S     1      0K      0K  fg krfcommd
  113 root     -2   0   0% S     1      0K      0K  fg mmcqd/0
  114 root     -2   0   0% S     1      0K      0K  fg mmcqd/0rpmb
  117 root     RT   0   0% S     1      0K      0K  fg ddrfreqd
  118 root      0 -20   0% S     1      0K      0K  fg dvfs
  119 root      0 -20   0% S     1      0K      0K  fg kworker/0:1H
  120 root      0 -20   0% S     1      0K      0K  fg deferwq
  121 root      0 -20   0% S     1      0K      0K  fg f_mtp
  122 root     20   0   0% S     1      0K      0K  fg file-storage
  123 root     20   0   0% S     1   5972K   1092K  fg /sbin/ueventd
  128 root     20   0   0% S     1      0K      0K  fg jbd2/mmcblk0p13
  129 root      0 -20   0% S     1      0K      0K  fg ext4-rsv-conver
  130 root     20   0   0% S     1      0K      0K  fg jbd2/mmcblk0p10
  131 root      0 -20   0% S     1      0K      0K  fg ext4-rsv-conver
  135 root     20   0   0% S     1      0K      0K  fg jbd2/mmcblk0p11
  136 root      0 -20   0% S     1      0K      0K  fg ext4-rsv-conver
  140 root     20   0   0% S     1      0K      0K  fg jbd2/mmcblk0p14
  141 root      0 -20   0% S     1      0K      0K  fg ext4-rsv-conver
  142 root     20   0   0% S     1   6416K    520K  fg /sbin/healthd
  143 root     20   0   0% S     5  13516K   1940K  fg /system/bin/displayd
  144 root     20   0   0% S     5 2122604K  74224K  fg zygote64
  145 root     20   0   0% S     5 1561788K  64096K  fg zygote
  146 root     -2   0   0% S     1   8920K   1880K unk /system/bin/lmkd
  147 system   20   0   0% S     1   9420K   2024K unk /system/bin/servicemanager
  149 root     20   0   0% S     4  16216K   3400K  fg /system/bin/vold
  154 root     20   0   0% S     1   5080K   1372K unk /system/bin/debuggerd
  155 root     20   0   0% S     1   9888K   1924K unk /system/bin/debuggerd64
  163 root     20   0   0% S     1   9888K    548K unk debuggerd64:signaller
  177 root     20   0   0% S     1   5080K    432K unk debuggerd:signaller
  179 logd     30  10   0% S     7  16976K   3292K unk /system/bin/logd
  181 shell    20   0   0% S     1   7704K   1564K  fg /system/bin/sh
  186 root     20   0   0% S     1   3556K   1020K  fg /system/bin/sambad
  188 camerase 20   0   0% S     2  54728K  13556K  fg /system/bin/cameraserver
  189 drm      20   0   0% S     2  12988K   4008K  fg /system/bin/drmserver
  190 root     20   0   0% S     1   9708K   2360K  fg /system/bin/installd
  191 keystore 20   0   0% S     1  12620K   3144K  fg /system/bin/keystore
  192 mediacod 20   0   0% S     6  22804K   4792K  fg media.codec
  193 media    20   0   0% S     2  37292K   8156K  fg /system/bin/mediadrmserver
  195 mediaex  20   0   0% S     4  40828K   5932K  fg media.extractor
  197 root     20   0   0% S    15  26912K   3240K  fg /system/bin/netd
  199 system   20   0   0% S     1  12308K   2812K unk /system/bin/gatekeeperd
  203 root     20   0   0% S     1      0K      0K  fg kauditd
  604 system   20   0   0% S    28 1572764K  60196K  fg com.togic.settingservice
  616 u0_a14   20   0   0% S    21 1580596K  65996K  fg com.android.systemui
  632 system   20   0   0% S    18 1570304K  70076K  bg com.android.tv.settings
  645 media_rw 20   0   0% S     4  11936K   3016K  fg /system/bin/sdcard
  663 root      0 -20   0% S     1      0K      0K  fg cfg80211
  773 root     20   0   0% S     1      0K      0K  fg AR6K Async
  777 root     17  -3   0% S     1      0K      0K  fg VosWDThread
  778 root     18  -2   0% S     1      0K      0K  fg VosMCThread
  780 root     19  -1   0% S     1      0K      0K  fg VosTXThread
  781 root     19  -1   0% S     1      0K      0K  fg VosRXThread
  782 root     19  -1   0% S     1      0K      0K  fg VosTlshimRxThre
  807 u0_a6    20   0   0% S     9 1538160K  39916K  fg android.ext.services
  847 system   20   0   0% S    10 1539456K  40040K  bg com.rockchip.devicetest
  868 system   20   0   0% S    39 1574020K  49864K  fg com.doule.timeservice
  874 u0_a36   20   0   0% S    41 1130368K  98044K  fg com.togic.weboxlauncher
  882 u0_a34   20   0   0% S    27 1566600K  62600K  fg tv.doule.upgrade
  925 system   20   0   0% S    13 982984K  37112K  fg com.togic.samba
  936 system   20   0   0% S    10 1539648K  43108K  fg com.togic.middlelayer
  958 u0_a28   20   0   0% S    16 1553800K  52560K  fg com.android.inputmethod.latin
  984 system   20   0   0% S    10 1539236K  41844K  bg com.android.keychain
 1026 u0_a5    20   0   0% S    14 1553620K  55732K  bg android.process.media
 1044 root     -2   0   0% S     1      0K      0K  fg ksdioirqd/mmc1
 1047 system   20   0   0% S    22 1554088K  48184K  fg com.togic.taskclean.service
 1054 root     18  -2   0% S     1      0K      0K  fg wlan_logging_th
 1069 wifi     20   0   0% S     1  14296K   4048K  fg /system/bin/wpa_supplicant
 1121 system   20   0   0% S    17 1558624K  64236K  bg com.togic.settings
 1171 u0_a2    20   0   0% S    13 1547948K  49864K  bg android.process.acore
 1189 u0_a1    20   0   0% S    11 1541292K  43204K  bg com.android.providers.calendar
 3117 root      0 -20   0% S     1      0K      0K  fg kworker/1:1H
 3795 u0_a4    20   0   0% S     9 1538020K  40200K  bg com.android.defcontainer
 3897 system   20   0   0% S    24 1560572K  52960K  fg com.togic.datausagestats
15489 root     20   0   0% S     1      0K      0K  fg kworker/0:1
20967 root     20   0   0% S     1      0K      0K  fg kworker/3:2
22280 u0_a16   20   0   0% S    27 1013168K  51512K  fg com.togic.livevideo:backend
22294 u0_a16   20   0   0% S    24 1009316K  46472K  fg com.togic.livevideo:plugin
22434 u0_a16   20   0   0% S    22 1010872K  52540K  bg com.togic.livevideo:pushservice
26414 root     20   0   0% S     1      0K      0K  fg kworker/1:2
29382 root     20   0   0% S     1      0K      0K  fg kworker/u8:2
29819 u0_a56   20   0   0% S    11 1539952K  43020K  bg com.togic.mboxsettingforwe30s
